songID,sourcePath,action,fsIn,nChannelsIn,rmsDbfsIn,gainDb,peakAfter,clipGuard,durationSec,elapsedSec,message
50,"american/twenty one pilots - Ride (Official Video) [Pw-0pbY9JeU].wav",processed,48000,2,-13.1759189252133,-6.82408107478666,0.452119687324645,0,225.2685,0.2596171,48000 Hz/2ch -> 8 kHz mono
51,"holdout/american/Ariana Grande - no tears left to cry (Official Video) [ffxKSjUwKdU].wav",processed,48000,2,-11.567459374835,-8.43254062516502,0.392636943996989,0,238.1555,0.2889271,48000 Hz/2ch -> 8 kHz mono
52,"holdout/american/D_Angelo - Untitled (How Does It Feel) (Official Music Video) [SxVNOnPyvIU].wav",processed,48000,2,-12.0922404819724,-7.90775951802759,0.445939486425226,0,263.104,0.3297099,48000 Hz/2ch -> 8 kHz mono
53,"holdout/american/OneRepublic - Counting Stars [hT_nvWreIhg].wav",processed,48000,2,-17.1169061151723,-2.88309388482768,0.413786598690927,0,283.03975,0.3499268,48000 Hz/2ch -> 8 kHz mono
54,"holdout/american/P!nk - Just Give Me A Reason ft. Nate Ruess [OpQFFLBMEPI].wav",processed,48000,2,-14.646182899205,-5.35381710079495,0.545066177397602,0,242.496,0.2825438,48000 Hz/2ch -> 8 kHz mono
55,"holdout/american/Panic! At The Disco - High Hopes (Official Video) [IPXIgEAGe4U].wav",processed,48000,2,-11.1811587722685,-8.81884122773148,0.393736391787247,0,196.498875,0.2098912,48000 Hz/2ch -> 8 kHz mono
56,"holdout/american/Post Malone - Circles [wXhTHyIgQ_U].wav",processed,48000,2,-8.77433448623006,-11.2256655137699,0.305643004071454,0,226.313375,0.2485723,48000 Hz/2ch -> 8 kHz mono
57,"holdout/american/Rachel Platten - Fight Song (Official Video) [xo1VInw-SKc].wav",processed,48000,2,-12.6247793991647,-7.37522060083533,0.420870567514352,0,205.09025,0.2420265,48000 Hz/2ch -> 8 kHz mono
58,"holdout/american/Sabrina Carpenter - Espresso [eVli-tstM5E].wav",processed,48000,2,-10.9267602016826,-9.07323979831739,0.369451107220424,0,200.53925,0.2365332,48000 Hz/2ch -> 8 kHz mono
59,"holdout/american/Taylor Swift - Blank Space [e-ORhEE9VVg].wav",processed,48000,2,-13.9482762367994,-6.05172376320063,0.434356009578091,0,272.428125,0.3207588,48000 Hz/2ch -> 8 kHz mono
60,"holdout/american/twenty one pilots - Stressed Out [OFFICIAL VIDEO] [pXRviuL6vMY].wav",processed,48000,2,-11.3591893004474,-8.64081069955256,0.382533112246838,0,225.233625,0.2933603,48000 Hz/2ch -> 8 kHz mono
61,"holdout/opm/018 - Amiel Sol - Sa Bawat Sandali (Lyrics).wav",processed,48000,2,-12.1402942862523,-7.85970571374768,0.418593077500353,0,304.63425,0.3419768,48000 Hz/2ch -> 8 kHz mono
62,"holdout/opm/023 - Over October - Ikot (Official Lyric Video).wav",processed,48000,2,-12.0749693908458,-7.92503060915425,0.418375948731193,0,254.049625,0.2949546,48000 Hz/2ch -> 8 kHz mono
63,"holdout/opm/028 - Darin feat. Eloise - Falling In love (Music Video).wav",processed,48000,2,-17.3275135550666,-2.6724864449334,0.429696675040449,0,120.801875,0.1470279,48000 Hz/2ch -> 8 kHz mono
64,"holdout/opm/030 - Rob Deniel - Miss Miss.wav",processed,48000,2,-15.1692367612793,-4.8307632387207,0.420174074078548,0,266.3445,0.2974022,48000 Hz/2ch -> 8 kHz mono
65,"holdout/opm/036 - SUGARCANE - Leonora (Official Lyric Video).wav",processed,48000,2,-13.290817912156,-6.70918208784399,0.494209723945627,0,234.4055,0.2660163,48000 Hz/2ch -> 8 kHz mono
66,"holdout/opm/053 - O SIDE MAFIA - MY THANG (Go Getta II) (Lyrics).wav",processed,48000,2,-10.1607183193072,-9.83928168069284,0.345526837232079,0,198.21725,0.226956,48000 Hz/2ch -> 8 kHz mono
67,"holdout/opm/068 - TJ Monterde - DARATING DIN｜ OFFICIAL LYRIC VIDEO.wav",processed,48000,2,-19.1564532613676,-0.843546738632401,0.832989130559498,0,240.791,0.2904485,48000 Hz/2ch -> 8 kHz mono
68,"holdout/opm/069 - Rob Deniel - Arrowmance -  (Official Lyric Video).wav",processed,48000,2,-13.7701750253046,-6.22982497469537,0.425830202674781,0,317.376,0.3962386,48000 Hz/2ch -> 8 kHz mono
69,"holdout/opm/080 - Maki - Kailan (Official Lyric Video).wav",processed,48000,2,-14.8277039997737,-5.17229600022629,0.504469098678833,0,253.6665,0.3040065,48000 Hz/2ch -> 8 kHz mono
70,"holdout/opm/089 - IV Of Spades - Mundo [Lyrics].wav",processed,48000,2,-15.4082979367438,-4.59170206325621,0.569337851234373,0,349.808625,0.431045,48000 Hz/2ch -> 8 kHz mono
71,"opm/003 - Skusta Clee - Since Day One (Lyrics) Ft. Flow G.wav",processed,48000,2,-14.0398775739352,-5.96012242606476,0.393468951951871,0,195.047625,0.2317593,48000 Hz/2ch -> 8 kHz mono
72,"opm/007 - Soapdish - Tensionado  (Official Lyric Visuals).wav",processed,48000,2,-13.6552400794267,-6.34475992057327,0.47756937491851,0,210.872125,0.2563957,48000 Hz/2ch -> 8 kHz mono
73,"opm/008 - Le John - Naiilang (Official Lyric Video).wav",processed,48000,2,-12.7362375293621,-7.26376247063787,0.443187777123758,0,247.106875,0.265931,48000 Hz/2ch -> 8 kHz mono
74,"opm/009 - IV Of Spades - Mundo (Lyrics).wav",processed,48000,2,-14.9070906815297,-5.09290931847034,0.559624091304382,0,349.8435,0.4195231,48000 Hz/2ch -> 8 kHz mono
75,"opm/014 - Cean Jr. - YK (Lyrics).wav",processed,48000,2,-10.7918662968121,-9.20813370318792,0.365529969657632,0,170.469375,0.1858141,48000 Hz/2ch -> 8 kHz mono
76,"opm/015 - Because - BMW (Ft. leslie) Lyrics.wav",processed,48000,2,-12.3467786308409,-7.65322136915906,0.40559570774233,0,166.76575,0.195792,48000 Hz/2ch -> 8 kHz mono
77,"opm/017 - HELLMERRY - My Day (Lyrics).wav",processed,48000,2,-12.8775549293591,-7.12244507064088,0.445765775663171,0,185.144375,0.1915876,48000 Hz/2ch -> 8 kHz mono
78,"opm/019 - jasondhakal - Para Sa Akin (Lyrics).wav",processed,48000,2,-10.6408919882044,-9.35910801179562,0.374992400246884,0,195.512125,0.2028591,48000 Hz/2ch -> 8 kHz mono
79,"opm/020 - Dionela - Marilag (Lyrics).wav",processed,48000,2,-13.5832330608605,-6.41676693913953,0.490516380982819,0,157.83775,0.1752739,48000 Hz/2ch -> 8 kHz mono
80,"opm/022 - Dionela - sining (Lyrics) ft. Jay R.wav",processed,48000,2,-16.0186338836695,-3.98136611633054,0.607064818033025,0,200.04,0.2118699,48000 Hz/2ch -> 8 kHz mono
81,"opm/026 - BINI - Blink Twice_ Official Lyric Video.wav",processed,48000,2,-12.1061138083977,-7.89388619160225,0.415022695219583,0,157.62875,0.1702172,48000 Hz/2ch -> 8 kHz mono
82,"opm/031 - BINI - Cherry On Top Official Lyric Video.wav",processed,48000,2,-9.67427337829011,-10.3257266217099,0.321270379738612,0,176.05375,0.1971693,48000 Hz/2ch -> 8 kHz mono
83,"opm/032 - Ryouji ft. CK YG - b4 i let u go (Official Lyric Video).wav",processed,48000,2,-12.9032661519221,-7.09673384807787,0.488594684880456,0,195.26825,0.2356208,48000 Hz/2ch -> 8 kHz mono
84,"opm/033 - Rob Deniel - RomCom (Lyrics).wav",processed,48000,2,-16.0506113282928,-3.94938867170722,0.36745501233116,0,237.43575,0.2783775,48000 Hz/2ch -> 8 kHz mono
85,"opm/037 - Ben & Ben - Sa Susunod Na Habang Buhay (Lyrics).wav",processed,48000,2,-14.203140213015,-5.79685978698503,0.54248108283881,0,288.287375,0.3532686,48000 Hz/2ch -> 8 kHz mono
86,"opm/039 - ZACK TABUDLO FT. AL JAMES - GUSTO.wav",processed,48000,2,-11.3408846153061,-8.65911538469388,0.374298579671521,0,258.07825,0.3157462,48000 Hz/2ch -> 8 kHz mono
87,"opm/042 - Maki - Namumula (Lyrics).wav",processed,48000,2,-9.20087067731849,-10.7991293226815,0.316472614428798,0,175.484875,0.1979058,48000 Hz/2ch -> 8 kHz mono
88,"opm/045 - Illest Morena - Faded (Raw)  Lyrics ｜ (kaya ibalot mo na _yang raw).wav",processed,48000,2,-13.4131714350129,-6.58682856498711,0.484483220445518,0,172.396625,0.1891687,48000 Hz/2ch -> 8 kHz mono
89,"opm/046 - TJ Monterde - Palagi (Lyric Video) ｜ @dhorynmarimon.wav",processed,48000,2,-16.2398918371676,-3.76010816283238,0.627964541116511,0,220.578,0.2413595,48000 Hz/2ch -> 8 kHz mono
90,"opm/047 - Hev Abi - Makasarili Malambing (Lyrics) Kristina Dawn ＂ maintindihan mo sanang _di pa _ko handa＂.wav",processed,48000,2,-13.3140087540074,-6.6859912459926,0.475794956499703,0,125.608375,0.1411276,48000 Hz/2ch -> 8 kHz mono
91,"opm/048 - Jed Baruelo - Nahuhulog (Lyrics).wav",processed,48000,2,-16.5475235274504,-3.45247647254959,0.666661249228001,0,227.2305,0.2607827,48000 Hz/2ch -> 8 kHz mono
92,"opm/050 - Dionela - Oksihina (Official Lyric Video).wav",processed,48000,2,-17.9347783109718,-2.06522168902823,0.645804747029468,0,204.045375,0.2535702,48000 Hz/2ch -> 8 kHz mono
93,"opm/051 - SUGARCANE - Paalam, Leonora (Official Lyric Visualizer).wav",processed,48000,2,-14.3417461435591,-5.65825385644085,0.524394930309778,0,263.2215,0.3196876,48000 Hz/2ch -> 8 kHz mono
94,"opm/054 - O Side Mafia - Get Low (Lyrics).wav",processed,48000,2,-10.2229919678425,-9.77700803215747,0.357249283828255,0,154.67975,0.1910513,48000 Hz/2ch -> 8 kHz mono
95,"opm/060 - Hev Abi - Para Sa Streets (Official Lyric Video) (Prod. Noane).wav",processed,48000,2,-13.5305404654768,-6.46945953452315,0.48587257366654,0,194.571625,0.2239848,48000 Hz/2ch -> 8 kHz mono
96,"opm/062 - Shanti Dope - Bad Type (Official Lyric Video).wav",processed,48000,2,-9.83779205145018,-10.1622079485498,0.370947300956023,0,186.595625,0.2274863,48000 Hz/2ch -> 8 kHz mono
97,"opm/063 - MATEO - Lalim (Official Lyric Video with Chords).wav",processed,48000,2,-14.6115508253468,-5.38844917465317,0.528255663099049,0,199.900625,0.2364822,48000 Hz/2ch -> 8 kHz mono
