nbhd,ceilingPerSec,capCanBind,densityMean,densityMedian,nPostings,nDistinctKeys,megabytes,enrolSec,clean10sTop1,medMatchSec
21,18.2114512471655,0,12.107799525015,12.1720656695936,1442198,548273,12.4353179931641,10.6380046,1,0.0096641
19,22.2472299168975,0,13.4080588365674,13.4287681847511,1767362,586179,14.5851211547852,11.743658,1,0.0094626
17,27.7897923875433,1,14.7994946576785,14.7796157972635,2116738,610999,16.7736282348633,11.7080844,1,0.0108841
15,35.6944444444444,1,16.3116492124165,16.3536141660831,2476361,622345,18.9179706573486,13.2139078,1,0.0159069
13,47.5221893491124,1,18.0755111401693,18.1211734754644,2855303,621120,21.0769481658936,12.9890732,1,0.0231835
